"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"105","Los Angeles - Chatsworth",3526,9514,9828,73,197,134,37061
"106","Los Angeles - Cheviot Hills",435,4743,5162,9,98,49,9171
"107","Los Angeles - Chinatown",708,8827,8963,15,187,101,8021
"108","Los Angeles - Cloverdale/Cochran",1565,10754,10442,21,144,151,14553
"109","Los Angeles - Country Club Park",1511,9972,9624,73,482,365,15153
"110","Los Angeles - Crenshaw District",1427,10319,10382,25,181,147,13829
"111","Los Angeles - Crestview",976,8586,8860,41,361,325,11368
"112","Los Angeles - Del Rey",1938,6474,6634,29,97,77,29936
"113","Los Angeles - Downtown",3842,13967,15025,53,193,155,27507
"114","Los Angeles - Eagle Rock",3591,9071,8886,109,275,201,39589
"115","Los Angeles - East Hollywood",3164,10803,10394,106,362,325,29287
"116","Los Angeles - Echo Park",1312,9203,9269,20,140,134,14256
"117","Los Angeles - El Sereno",6107,14607,14417,104,249,239,41808
"118","Los Angeles - Elysian Park",494,8648,8330,3,53,46,5712
"119","Los Angeles - Elysian Valley",1279,12575,12409,23,226,195,10171
"120","Los Angeles - Encino",3304,7314,7723,62,137,72,45172
"121","Los Angeles - Exposition",358,10764,10371,7,210,224,3326
"122","Los Angeles - Exposition Park",6062,13496,13698,82,183,245,44917
"123","Los Angeles - Faircrest Heights",246,6833,6738,2,56,46,3600
"124","Los Angeles - Figueroa Park Square",1339,15354,15401,23,264,268,8721
"125","Los Angeles - Florence-Firestone",9167,19321,19573,112,236,344,47445
"126","Los Angeles - Glassell Park",3366,10651,10590,52,165,139,31604
"127","Los Angeles - Gramercy Place",1279,11882,12438,21,195,144,10764
"128","Los Angeles - Granada Hills",6332,10881,10826,171,294,214,58191
"129","Los Angeles - Green Meadows",3864,17968,18030,51,237,321,21505
"130","Los Angeles - Hancock Park",997,5851,6214,10,59,55,17039
"131","Los Angeles - Harbor City",2447,8418,8448,34,117,99,29070
"132","Los Angeles - Harbor Gateway",4774,10950,10786,62,142,156,43600
"133","Los Angeles - Harbor Pines",164,6808,6809,0,0,0,2409
"134","Los Angeles - Harvard Heights",2551,14145,14002,66,366,434,18035
"135","Los Angeles - Harvard Park",7000,18453,18315,87,229,261,37935
"136","Los Angeles - Highland Park",5676,11729,11533,92,190,203,48391
"137","Los Angeles - Historic Filipinotown",2010,14492,13937,73,526,518,13870
"138","Los Angeles - Hollywood",5315,7787,7401,66,97,100,68254
"139","Los Angeles - Hollywood Hills",1437,4882,5543,19,65,58,29434
"140","Los Angeles - Hyde Park",3569,12505,12522,68,238,218,28541
"141","Los Angeles - Jefferson Park",1149,14233,14062,12,149,139,8073
"142","Los Angeles - Koreatown",5483,10607,10402,122,236,242,51693
"143","Los Angeles - Lafayette Square",526,11538,11302,8,175,190,4559
"144","Los Angeles - Lake Balboa",5274,12496,12381,61,145,155,42206
"145","Los Angeles - Lakeview Terrace",2281,17368,17237,40,305,339,13133
"146","Los Angeles - Leimert Park",1560,10240,10300,22,144,107,15235
"147","Los Angeles - Lincoln Heights",5021,15403,15168,150,460,401,32597
"148","Los Angeles - Little Armenia",1131,14093,13027,78,972,799,8025
"149","Los Angeles - Little Bangladesh",2716,9583,9702,28,99,110,28343
"150","Los Angeles - Little Tokyo",389,12416,14817,10,319,221,3133
"151","Los Angeles - Longwood",577,13406,13211,8,186,197,4304
"152","Los Angeles - Los Feliz",1018,4711,5171,21,97,73,21608
"153","Los Angeles - Manchester Square",923,10813,11258,10,117,90,8536
"154","Los Angeles - Mandeville Canyon",145,4641,5229,1,32,14,3124
"155","Los Angeles - Mar Vista",1965,4627,4802,34,80,64,42471
"156","Los Angeles - Marina Peninsula",137,3142,4022,2,46,23,4360
"157","Los Angeles - Melrose",7945,10226,10132,200,257,255,77696
"158","Los Angeles - Mid-city",1174,7811,7806,40,266,243,15030
"159","Los Angeles - Miracle Mile",935,5199,5126,16,89,78,17985
"160","Los Angeles - Mission Hills",4252,17626,17227,116,481,363,24124
"161","Los Angeles - Mt. Washington",2822,11688,11547,59,244,218,24145
"162","Los Angeles - North Hills",9155,14868,14630,132,214,243,61575
"163","Los Angeles - North Hollywood",20242,13368,12972,321,212,238,151421
"164","Los Angeles - Northridge",7368,10556,10479,159,228,191,69797
"165","Los Angeles - Pacific Palisades",780,3664,4414,17,80,41,21291
"166","Los Angeles - Pacoima",16973,22049,21960,215,279,380,76979
"167","Los Angeles - Palisades Highlands",143,3718,4417,1,26,18,3846
"168","Los Angeles - Palms",2509,5718,6283,59,134,177,43877
"169","Los Angeles - Panorama City",13253,17612,17510,241,320,415,75250
"170","Los Angeles - Park La Brea",583,4293,3701,1,7,8,13580
"171","Los Angeles - Pico-Union",7001,16732,16590,217,519,620,41842
"172","Los Angeles - Playa Del Rey",107,3348,3905,1,31,17,3196
"173","Los Angeles - Playa Vista",575,5253,5366,8,73,78,10947
"174","Los Angeles - Porter Ranch",2369,6657,6990,34,96,61,35588
"175","Los Angeles - Rancho Park",340,5183,5909,3,46,35,6560
"176","Los Angeles - Regent Square",248,8921,8777,3,108,97,2780
"177","Los Angeles - Reseda",11258,14694,14451,275,359,327,76617
"178","Los Angeles - Reseda Ranch",668,14409,14323,3,65,72,4636
"179","Los Angeles - Reynier Village",260,6149,6226,1,24,16,4228
"180","Los Angeles - San Pedro",7006,8978,9058,110,141,122,78038
"181","Los Angeles - Shadow Hills",378,8510,8867,5,113,76,4442
"182","Los Angeles - Sherman Oaks",5571,6385,6830,99,113,100,87254
"183","Los Angeles - Silverlake",3099,7030,7333,110,250,215,44083
"184","Los Angeles - South Carthay",680,6418,7315,6,57,42,10595
"185","Los Angeles - South Park",7245,19085,19546,103,271,451,37961
"186","Los Angeles - St Elmo Village",686,14965,15464,38,829,1255,4584
"187","Los Angeles - Studio City",1315,5860,6279,52,232,183,22440
"188","Los Angeles - Sun Valley",9242,17610,17300,136,259,266,52483
"189","Los Angeles - Sunland",2228,10917,11053,55,270,192,20408
"190","Los Angeles - Sycamore Square",28,4328,5751,2,309,675,647
"191","Los Angeles - Sylmar",15851,19237,18965,228,277,322,82398
"192","Los Angeles - Tarzana",3239,10490,10512,72,233,151,30876
"193","Los Angeles - Temple-Beaudry",4959,12560,12251,108,274,309,39482
"194","Los Angeles - Thai Town",871,8880,8931,17,173,130,9809
"195","Los Angeles - Toluca Lake",475,5457,6406,6,69,59,8704
"196","Los Angeles - Toluca Terrace",142,10873,13697,8,613,1178,1306
"197","Los Angeles - Toluca Woods",100,5382,5883,0,0,0,1858
"198","Los Angeles - Tujunga",2836,10198,9993,63,227,182,27810
"199","Los Angeles - University Hills",266,7757,7961,1,29,19,3429
"200","Los Angeles - University Park",3398,12376,14074,51,186,365,27456
"201","Los Angeles - Valley Glen",3741,12463,12247,61,203,193,30016
"202","Los Angeles - Valley Village",1964,7945,8220,68,275,230,24720
"203","Los Angeles - Van Nuys",14306,15351,15268,307,329,411,93194
"204","Los Angeles - Venice",1547,4565,5496,15,44,43,33885
"205","Los Angeles - Vermont Knolls",2793,16238,16183,51,297,329,17200
"206","Los Angeles - Vermont Square",1453,18976,18833,21,274,315,7657
"207","Los Angeles - Vermont Vista",7360,17870,18196,94,228,353,41186
"208","Los Angeles - Vernon Central",10942,21043,21517,154,296,482,51998
"209","Los Angeles - Victoria Park",1032,12287,12068,11,131,111,8399
"210","Los Angeles - View Heights",216,5847,5823,6,162,128,3694
"211","Los Angeles - Watts",7337,17193,18047,90,211,378,42674
"212","Los Angeles - Wellington Square",558,11353,11246,9,183,194,4915
"213","Los Angeles - West Adams",3911,14155,13955,144,521,495,27630
"214","Los Angeles - West Hills",2914,7187,7496,100,247,159,40545
"215","Los Angeles - West Los Angeles",2294,6095,6353,49,130,139,37636
"216","Los Angeles - West Vernon",9954,18556,18463,181,337,421,53644
"217","Los Angeles - Westchester",2387,4626,4471,50,97,90,51603
"218","Los Angeles - Westlake",7576,12764,12859,284,478,572,59355
"219","Los Angeles - Westwood",2508,4635,3913,24,44,39,54109
"220","Los Angeles - Wholesale District",6201,17163,15881,102,282,321,36129
"221","Los Angeles - Wilmington",8244,14595,14547,88,156,196,56487
"222","Los Angeles - Wilshire Center",5483,10929,10783,126,251,258,50170
"223","Los Angeles - Winnetka",6619,12781,12544,74,143,150,51786
"224","Los Angeles - Woodland Hills",4827,7093,7224,82,120,76,68055
"225","Unincorporated - Acton",456,5721,6334,7,88,64,7971
"226","Unincorporated - Agua Dulce",260,6253,7989,3,72,51,4158
"227","Unincorporated - Altadena",3234,7414,7647,65,149,111,43620
"228","Unincorporated - Anaverde",143,9483,10113,0,0,0,1508
"229","Unincorporated - Angeles National Forest",33,2651,3525,1,80,127,1245
"230","Unincorporated - Arcadia",604,7568,7721,14,175,140,7981
"231","Unincorporated - Athens Village",1042,21278,21388,30,613,693,4897
"232","Unincorporated - Athens-Westmont",6168,14533,14623,92,217,236,42442
"233","Unincorporated - Avocado Heights",1068,15764,15543,13,192,187,6775
"234","Unincorporated - Azusa",2315,14539,14249,36,226,272,15923
"235","Unincorporated - Bassett",2596,17520,17268,47,317,296,14817
"236","Unincorporated - Bouquet Canyon",45,4194,5059,1,93,82,1073
"237","Unincorporated - Bradbury",53,49074,3155,23,21296,905,108
"238","Unincorporated - Canyon Country",807,10443,10941,3,39,43,7728
"239","Unincorporated - Castaic",3644,13401,12839,17,63,102,27191
"240","Unincorporated - Cerritos",71,12095,11814,1,170,171,587
"241","Unincorporated - Claremont",40,5698,7011,4,570,429,702
"242","Unincorporated - Covina",2297,13657,13339,42,250,223,16819
"243","Unincorporated - Covina (Charter Oak)",1514,11519,11246,17,129,141,13144
"244","Unincorporated - Del Aire",297,6761,6715,3,68,63,4393
"245","Unincorporated - Del Rey",24,7547,9375,0,0,0,318
"246","Unincorporated - Del Sur",163,6749,7272,2,83,62,2415
"247","Unincorporated - Desert View Highlands",339,13598,13640,5,201,185,2493
"248","Unincorporated - Duarte",841,18993,18817,10,226,279,4428
"249","Unincorporated - East Covina",34,10334,16386,1,304,91,329
"250","Unincorporated - East La Mirada",491,9278,9390,7,132,119,5292
"251","Unincorporated - East Lancaster",15,13158,13160,0,0,0,114
"252","Unincorporated - East Los Angeles",24610,19646,19607,407,325,389,125269
"253","Unincorporated - East Pasadena",214,3342,3199,8,125,88,6403
"254","Unincorporated - East Rancho Dominguez",2727,17814,18058,48,314,435,15308
"255","Unincorporated - East Whittier",449,8462,8236,7,132,113,5306
"256","Unincorporated - El Camino Village",800,9100,9167,14,159,144,8791
"257","Unincorporated - El Monte",24,16552,19639,0,0,0,145
"258","Unincorporated - Elizabeth Lake",75,4515,4857,0,0,0,1661
"259","Unincorporated - Florence-Firestone",13356,20641,20882,204,315,448,64705
"260","Unincorporated - Franklin Canyon",1,8333,4845,0,0,0,12
"261","Unincorporated - Glendora",66,10000,10440,2,303,155,660
"262","Unincorporated - Hacienda Heights",5115,9146,9191,97,173,120,55926
"263","Unincorporated - Hawthorne",311,12371,12160,2,80,93,2514
"264","Unincorporated - Hi Vista",43,3916,4364,0,0,0,1098
"265","Unincorporated - Kagel/Lopez Canyons",207,14660,16048,2,142,144,1412
"266","Unincorporated - La Crescenta-Montrose",1060,5353,5642,14,71,59,19801
"267","Unincorporated - La Habra Heights",14,2071,2845,1,148,88,676
"268","Unincorporated - La Rambla",260,12530,11632,16,771,520,2075
"269","Unincorporated - La Verne",161,7892,8404,1,49,34,2040
"270","Unincorporated - Ladera Heights",364,5148,5297,11,156,72,7071
"271","Unincorporated - Lake Hughes",40,5988,6486,1,150,517,668
"272","Unincorporated - Lake Los Angeles",1526,11744,12089,18,139,155,12994
